ell,residuals
614,-6.106008866718516e-13
615,-5.740250823802174e-13
616,-5.361024006764571e-13
617,-4.96932267479486e-13
618,-4.566170400071554e-13
619,-4.1526173570418986e-13
620,-3.729737549532806e-13
621,-3.298625983111737e-13
622,-2.8603957902456853e-13
623,-2.416175315909684e-13
624,-1.9671051713789726e-13
625,-1.5143352640069497e-13
626,-1.0590218108292853e-13
627,-6.023243438602995e-14
628,-1.454027149449885e-14
629,3.1058589198542347e-14
630,7.644899334544826e-14
631,1.2151664560303437e-13
632,1.6614840153087618e-13
633,2.1023255567268697e-13
634,2.5365912507753915e-13
635,2.96320127531046e-13
636,3.3810985378344816e-13
637,3.7892513307881646e-13
638,4.186655913096556e-13
639,4.57233901142634e-13
640,4.945360234839914e-13
641,5.304814396784036e-13
642,5.649833738606244e-13
643,5.979590049081483e-13
644,6.293296674706954e-13
645,6.590210415843448e-13
646,6.869633304086857e-13
647,7.130914256586104e-13
648,7.373450603361059e-13
649,7.596689484022848e-13
650,7.800129110653248e-13
651,7.983319893965977e-13
652,8.145865430237733e-13
653,8.287423346882839e-13
654,8.407706004912607e-13
655,8.506481056914274e-13
656,8.58357185956689e-13
657,8.638857740095957e-13
658,8.672274116462521e-13
659,8.683812471463241e-13
660,8.67352018130832e-13
661,8.641500199620675e-13
662,8.587910598185006e-13
663,8.51296396614467e-13
664,8.416926669711355e-13
665,8.300117974818674e-13
666,8.162909035499147e-13
667,8.005721751111311e-13
668,7.829027495878958e-13
669,7.633345724527514e-13
670,7.419242458119326e-13
671,7.18732865448731e-13
672,6.938258467958994e-13
673,6.67272740333587e-13
674,6.391470369352066e-13
675,6.095259637090236e-13
676,5.784902709051858e-13
677,5.461240104803646e-13
678,5.125143069314511e-13
679,4.777511210279961e-13
680,4.419270070895144e-13
681,4.0513686446796147e-13
682,3.67477683909252e-13
683,3.2904828947771687e-13
684,2.899490767369212e-13
685,2.502817478874795e-13
686,2.1014904456749024e-13
687,1.6965447902493762e-13
688,1.2890206437262015e-13
689,8.799604463563818e-14
690,4.7040625299971846e-14
691,6.139705065020398e-15
692,-3.4603390501511095e-14
693,-7.508617271670287e-14
694,-1.1520725026375379e-13
695,-1.5486658573229017e-13
696,-1.9396574756249725e-13
697,-2.324081567525124e-13
698,-2.7009932770450684e-13
699,-3.0694710260414103e-13
700,-3.4286187874632754e-13
701,-3.777568282427382e-13
702,-4.115481095677529e-13
703,-4.4415507042456917e-13
704,-4.755004414375562e-13
705,-5.055105202036633e-13
706,-5.341153452631594e-13
707,-5.612488595785685e-13
708,-5.868490631399158e-13
709,-6.108581543453779e-13
710,-6.33222659836896e-13
711,-6.538935525030091e-13
712,-6.728263573930245e-13
713,-6.899812453202452e-13
714,-7.053231139652206e-13
715,-7.188216563238686e-13
716,-7.304514163797812e-13
717,-7.401918319136908e-13
718,-7.480272643981521e-13
719,-7.539470159593848e-13
720,-7.579453334227162e-13
721,-7.600213994917608e-13
722,-7.601793111458218e-13
723,-7.584280453727465e-13
724,-7.547814123876094e-13
725,-7.492579965201372e-13
726,-7.41881084985204e-13
727,-7.326785847816043e-13
728,-7.216829279949947e-13
729,-7.089309658096527e-13
730,-6.944638515623273e-13
731,-6.783269131985244e-13
732,-6.605695155182282e-13
733,-6.412449126226487e-13
734,-6.2041009099762e-13
